Model,Accuracy
EnhancedQNN,0.7251428365707397
Classical,0.5376428365707397
QML AmplitudeEmbedding,0.5117856860160828
QML RandomLayers,0.5002856850624084
QML StronglyEntanglingLayers,0.5002856850624084
QML BasicEntanglerLayers,0.49942857027053833
